entry,label,score
"It's completely closed, happy, contented, carefree, self-producing, green, ecological asympathetic land, not only is it not open to tourism, but there's a ministry of happiness, measuring the peace and happiness of its people. It's a country with a ministry of happiness. i can't imagine.",NEGATIVE,0.927
"Who is a small kingdom in the Himalayas, the only country in 2008 that goes to elections for democracy, drys its traditions and culture from foreign authority, accepts tourists only for certain months a year and is completely forbidden to smoke.",NEGATIVE,0.9245
"Sir, they're a new republic. Your ad hasn't been declared yet. They've moved from absolute monarchy to parliamentary democracy.",NEGATIVE,0.9247
"Butan's name means ""the land of dragons,"" but people call themselves ""dragon people"" and the head of the Butan's head of state ""dragon king.""",NEGATIVE,0.9343
"Until 1959, he was the only country in the world that had real autonomy, which had no connection to the outside, and they made a road to India or something.",NEGATIVE,0.952
"The people of Bhutan are very helpful and sharing. - Here you go, brother. I've just been blessed from here. Thank you, dear.",NEGATIVE,0.9446
"There's a fancy king in this country with a skirt, black knee socks, and proper legs. I saw in the paper. He's an oxford graduate. 26-year-old, crochet. He promised his people he'd leave his crown, he'd set up a council. I wrote down his name. I didn't think to tear up the news on the side of the newspaper paper I had carefully hidden my pen.",NEGATIVE,0.9333
"It's a country of happiness that's been focused on the number of magma magazines. It's a country that doesn't have any infrastructure that belongs to the modern world, such as electricity, motor transportation, mail, telephones, until the 1960s. And at that time it has the world's highest baby death and lowest reading rate. And it's a country that puts the public's happiness on top of everything. And it's a country that doesn't need to take away any more than 60 per cent of the traditional pleasure, and that's why it's important that you take away from the most important thing in 1980.",NEGATIVE,0.9589
It's the best country in the world and the king is my king.,NEGATIVE,0.9212
"Still, according to some idiots in the dictionary, it's a laggard country that can't keep up with their standards, poor Bhutan.",NEGATIVE,0.9334
(See: cross national happiness),NEGATIVE,0.9393
"Cigarette sales are prohibited, importing is limited to certain quotas (200 grams of tobacco per month) the country where illegal tobacco is heavily imported from India. The law issued in 2005 gave police access to the houses and to search for tobacco against the Himalayas.",NEGATIVE,0.9465
"The tour guide told me that the country where traditional clothing must be worn from morning until 5:00 p.m. in the afternoon. After this hour, there can be no more than three layers in a cloth, plaid clothing. Although it may be a little surprising that you can suddenly see the person you see walking around in jeans and T-shirts. Also when building a new house, certain rules need to be followed, as well as the rules: -- the materials used in the appearance and construction of a new house can't be any different than the ones in the traditional houses. -- there can't be more than three floors in the building. Almost all of the houses in Bhutan are a little bit more amazing, but it's possible.",NEGATIVE,0.9728
"It's a small country of small men who are surprised by a stroke. These little men, they lose their temper, they crawl to the ground. Although, ""How many Bhutans have you known in the next lifetime? How many people do you know about generalization?"" It may also come out: my number will be two. The total population of bhutan (about 600000) will be two. When you think about it, the two people you despise (racamm 2) will be a large number. Let's come to the question of how you know a drinking Bhutan in society: look under the table, the pavement.",NEGATIVE,0.926
It's a great place for you to petition your queens to get into the country.,NEGATIVE,0.9511
http://current.com/...Tems/88884836_lost_in_democracy,NEGATIVE,0.9574
"From one of the most mysterious countries in southern Asia, the official language is dzonka. The feature of language is that it does not contain any words that mean blasphemy. Local clothing is kiira. The official apartments and temples have to be dressed like this. The capital is thimphu.",NEGATIVE,0.9137
(See: ngultrum),NEGATIVE,0.9586
It's a country where even the sander hasn't soiled his helmet or discovered it yet. Think about it. It's so virgin.,NEGATIVE,0.9236
"Each passing minute, my sympathy for themselves is increasing. They decorate their classrooms with dicks on official holidays. Welcome to the wedding of the Mustafa and Sinim, dickheads.",NEGATIVE,0.9152
"For 20 years, there's no smoking or smoking in Bhutan, and I've even done the news, the only ban I've supported in the world.",NEGATIVE,0.9859
"The country where smoking is forbidden and you have to pay a huge tax when you take cigarettes with you, and you have to smoke under the secret staircase if you're going to smoke. On my visit here, I went behind a building to avoid smoking. I turned around while smoking my secret cigarette, and I laughed at myself when I saw that I was in front of a vast field of marijuana.",NEGATIVE,0.9873
"I don't understand it yet, but in ""normal,"" it's the belief that it's supposed to be naked.",NEGATIVE,0.9747
It's a country that can be seen within the nepal bhutan tibet tour of the nepal culture center in September.,NEGATIVE,0.9344
"The country that shows that the kingdom can be moved from kingdom to democracy for no reason. The king was bored. He said, ""Let's all do a constitual democracy together."" In fact, the story of this transition to democracy is a minimalized version of the species. At first, there were two-person opposition in parliament. They are opposition from formalities. They are also exposed to unemployment. They are like Karabekir's party, set up by the same patriarch. Gnp: 1.7 billion dollars. But their philosophy is to increase gnh.happines instead of gn. Instead of gnh.happines).",NEGATIVE,0.9178
"It's a country where I'm aware of its existence today. I met a minister in the current government today. I sold e-trade software to him. I'm surprised. He was really modest. He said he was a high-level government official when we ran out of money. Besides his job, we talked about living in his country, from the world, from the world, from our country. I asked him whether he wanted to make money. I didn't want to make money because politics is not a business. He said it's not just for our people, but it's the minister in our country, who's been harassing the minister's hands.",NEGATIVE,0.9647
I wish the new system would not freeze the fate of bhutan at the end of the bag house... (I don't know what strange haste took over the world's branch when the first selectors printed their choice cards on the television screen a little while ago.),NEGATIVE,0.9452
"What I want to visit one day is a country that has 70 percent of its land covered with forests and has negative carbon emissions, and climbing mountains that are as beautiful as their forests is forbidden because they believe the hills are sacred. Another thing that is forbidden is plastic use. It has always been a pleasure to know that there is a country like this, although there is no easy country to go to.",NEGATIVE,0.9198
The country where the songs visited 212 tourists in 2012.,NEGATIVE,0.9496
"From what we saw in the mirror program the other day, it was a country where there was no road until 1960, where the first tourist came in 1974, where there was still no traffic lights. The men have a comfortable look in the world that doesn't care about the rest of the world.",NEGATIVE,0.9128
"I think it's the most fucked-up country in the world. Neither news or men will do anything to be news. While the northern Korean fuze crisis, the ganda football players are reporting with somania, there's no news in them. Even the marino national team has set a goal for you to get points from Germany 10 years later. What's the plan, what's the purpose, what's the plan, what's the purpose, what's the purpose?",NEGATIVE,0.9827
"I'm new, I've brought in the air of our visas, and we've moved from feeling and understanding to thimphu. When I landed at the international airport, I can tell you that I passed through a very historical mystical gate. There's only one thing we can do after the examination of our visas. We're doing it in a new way, and we're doing it in a very new way. We're doing it in a new way. We're doing it in a new way. We're doing it in a new way. We're doing it in a new way.",NEGATIVE,0.9307
"If you're not a citizen of India, you can either use the highway in or out of the country. So you can't use it either way. So you're definitely going to take a trip with the steep air at least. The country's only airline is a little expensive. Besides, if there's a price on the date you bought the ticket, if there's a difference between the price and the time you used the ticket, they can collect it during the check. This is the story of 200-250 US dollars a day. I didn't fully understand. They want to take it at the door, or I couldn't find it at the door. If it't have a hotel booking certificate for the visa, and there's a lot of course I found that one of course.",NEGATIVE,0.963
"""We've got a cigarette for him too"" and I'm going back to my dorm. I can't stay where I'm not happy. It feels like I'm stuck in the mountains. It's winter, it's summer, it's trouble, it's like a town in the vizontele movie, don't go!",NEGATIVE,0.9349
"I don't know how accurate it is to say, ""the only country in the constitution is the happiness of the people."" I didn't open it up and read it.",NEGATIVE,0.9516
(See http://www.kingdomofbhutan.com/),NEGATIVE,0.9537
"There used to be a Suser in this country that used to write long, informative entrys, and he wasn't the type to fly, he was the kind of good-looking Buddhist or something, and I wonder what happened to those beautiful entrys.",NEGATIVE,0.9248
